review_id,product_name,review_text,rating,date
1,Smartphone X,The battery life is amazing but the camera quality is terrible.,3,2023-10-01
2,Smartphone X,Absolutely love the display and the performance is so fast!,5,2023-10-02
3,Smartphone X,Too expensive for what it offers. Overpriced!,2,2023-10-03
4,Smartphone X,Build quality is premium metal but software is full of bugs.,3,2023-10-04
5,Smartphone X,Arrived 3 days late. Delivery was awful.,1,2023-10-05
6,Smartphone X,Great value for the price.,4,2023-10-06
7,Smartphone X,The screen is bright and clear.,5,2023-10-07
8,Smartphone X,Battery drains really fast when playing games.,2,2023-10-08
9,Smartphone X,Amazing camera zoom and clear photos.,5,2023-10-09
10,Smartphone X,Processor is lagging. Very slow performance.,2,2023-10-10
11,Smartphone X,Very cheap plastic material used for the build.,1,2023-10-11
12,Smartphone X,UI is smooth and easy to use.,4,2023-10-12
13,Smartphone X,Packaging was damaged upon delivery.,2,2023-10-13
14,Smartphone X,It's an okay phone. Nothing special.,3,2023-10-14
15,Smartphone X,Best phone ever! Highly recommended!,5,2023-10-15
16,Smartphone X,Camera is not working after the new update.,1,2023-10-16
17,Smartphone X,The resolution of the screen is stunning.,5,2023-10-17
18,Smartphone X,Charges extremely fast.,5,2023-10-18
19,Smartphone X,Poor battery. Requires multiple charges a day.,2,2023-10-19
20,Smartphone X,Affordable and reliable.,4,2023-10-20
21,Smartphone X,Heating issues after 10 mins of use.,1,2023-10-21
22,Smartphone X,The courier was very polite and arrived on time.,5,2023-10-22
23,Smartphone X,Beautiful design and durable.,5,2023-10-23
24,Smartphone X,Too many software bugs. Needs an update.,2,2023-10-24
25,Smartphone X,I hate this phone.,1,2023-10-25
26,Smartphone X,Not bad for the price.,3,2023-10-26
27,Smartphone X,Excellent photo quality in low light.,5,2023-10-27
28,Smartphone X,Screen cracked easily. Bad durability.,1,2023-10-28
29,Smartphone X,Box was missing accessories. Bad delivery.,2,2023-10-29
30,Smartphone X,Super fast and responsive.,5,2023-10-30
31,Smartphone X,Battery is decent.,3,2023-10-31
32,Smartphone X,Selfie camera is blurry.,2,2023-11-01
33,Smartphone X,Solid build quality.,4,2023-11-02
34,Smartphone X,Very expensive.,2,2023-11-03
35,Smartphone X,Android update ruined my phone.,1,2023-11-04
36,Smartphone X,Amoled display is gorgeous.,5,2023-11-05
37,Smartphone X,Fast shipping.,5,2023-11-06
38,Smartphone X,Doesn't charge properly.,1,2023-11-07
39,Smartphone X,Good value.,4,2023-11-08
40,Smartphone X,Terrible performance when multitasking.,2,2023-11-09
41,Smartphone X,Photos are sharp.,4,2023-11-10
42,Smartphone X,Nice premium feel.,4,2023-11-11
43,Smartphone X,Software interface is confusing.,2,2023-11-12
44,Smartphone X,Delivery took weeks.,1,2023-11-13
45,Smartphone X,Screen brightness is low outdoors.,2,2023-11-14
46,Smartphone X,Battery lasts 2 days.,5,2023-11-15
47,Smartphone X,Overpriced garbage.,1,2023-11-16
48,Smartphone X,It's fine.,3,2023-11-17
49,Smartphone X,Smooth processor.,5,2023-11-18
50,Smartphone X,Love it!,5,2023-11-19
